restaurant_id,name,cuisine_type,avg_rating,total_reviews,price_range,avg_delivery_time,is_veg_only,location_lat,location_lon,operating_hours,commission_rate,total_orders,avg_order_value,total_revenue,avg_user_rating,unique_customers,popularity_score,repeat_customers,retention_rate,delivery_efficiency,value_score,restaurant_segment,cuisine_type_encoded,is_veg_only_int
rest_0000,Paradise Palace,South Indian,4.6,357,2,36,False,28.4831,77.2476,10AM-11PM,0.18,783,399.1921455938697,312567.45,4.534355044699873,559,0.4550264423076923,166,0.29695885509839,0.6,2.3,popular,10,0
rest_0001,Corner Point,Continental,4.5,201,2,46,False,28.5349,77.2605,10AM-11PM,0.23,716,398.9563407821229,285652.74,4.538268156424581,511,0.42918393567639257,138,0.2700587084148728,0.35,2.25,popular,4,0
rest_0002,Paradise Eatery,Italian,4.7,100,3,20,True,28.5036,77.1242,11AM-12AM,0.18,1131,600.9270910698498,679648.54,4.529531388152077,803,0.5256057692307692,229,0.2851805728518057,1.0,1.5666666666666667,popular,8,1
rest_0003,Royal Restaurant,North Indian,4.4,259,2,46,False,28.4518,77.2094,11AM-12AM,0.2,743,393.4563795423957,292338.09,4.5068640646029605,521,0.431004724801061,152,0.29174664107485604,0.35,2.2,popular,9,0
rest_0004,Corner Point,Biryani,4.6,51,4,34,False,28.5866,77.0805,11AM-12AM,0.19,485,818.5253402061855,396984.79,4.538144329896907,342,0.3807567141909814,99,0.2894736842105263,0.65,1.15,established,1,0
rest_0005,Golden Grill,Fast Food,4.8,284,2,36,False,28.6646,77.2998,11AM-12AM,0.24,833,390.813037214886,325547.26,4.520048019207683,593,0.4750043103448276,176,0.29679595278246207,0.6,2.4,popular,6,0
rest_0006,Corner Hub,North Indian,4.9,10,1,25,True,28.6877,77.0526,11AM-12AM,0.19,1326,201.01328808446456,266543.62,4.547435897435897,931,0.5757398872679046,269,0.2889366272824919,0.875,4.9,popular,9,1
rest_0007,Express Point,Continental,4.6,158,3,20,False,28.4577,77.003,10AM-11PM,0.19,488,611.7664549180329,298542.03,4.557991803278689,350,0.3852514920424403,95,0.2714285714285714,1.0,1.5333333333333332,established,4,0
rest_0008,Spicy Grill,Fast Food,4.1,1115,1,36,False,28.6152,77.0446,10AM-11PM,0.22,460,188.6263043478261,86768.1,4.542826086956521,333,0.3838170590185676,94,0.2822822822822823,0.6,4.1,established,6,0
rest_0009,Express Bites,South Indian,4.8,170,4,40,True,28.5993,77.2328,24 hours,0.21,1066,813.382148217636,867065.37,4.550375234521576,767,0.5203367042440319,217,0.28292046936114734,0.5,1.2,popular,10,1
rest_0010,Fresh Kitchen,North Indian,4.8,1980,4,42,False,28.503,77.134,10AM-11PM,0.16,536,816.3461753731343,437561.55,4.523694029850746,387,0.47313428381962863,104,0.268733850129199,0.44999999999999996,1.2,popular,9,0
rest_0011,Classic Cafe,North Indian,4.8,99,3,40,True,28.4057,77.1343,11AM-12AM,0.2,1152,607.52625,699870.24,4.546788194444444,800,0.5360259449602122,231,0.28875,0.5,1.5999999999999999,popular,9,1
rest_0012,Deluxe Kitchen,North Indian,4.2,667,3,38,True,28.6069,77.2865,10AM-11PM,0.22,970,590.341556701031,572631.31,4.5475257731958765,691,0.48188602453580903,190,0.27496382054992763,0.55,1.4000000000000001,popular,9,1
rest_0013,Classic Hub,Street Food,4.6,39,2,25,True,28.6836,77.2759,11AM-12AM,0.25,1683,395.525834818776,665669.98,4.548187759952466,1175,0.6345415285145888,360,0.30638297872340425,0.875,2.3,popular,11,1
rest_0014,Paradise Palace,Biryani,4.7,628,4,42,True,28.5896,77.0934,11AM-12AM,0.21,1140,807.144201754386,920144.39,4.57359649122807,827,0.5465540450928382,234,0.282950423216445,0.44999999999999996,1.175,popular,1,1
rest_0015,Deluxe Hub,North Indian,4.8,210,2,24,False,28.5306,77.0627,10AM-11PM,0.19,754,407.7383156498674,307434.69,4.552254641909815,542,0.4555721153846154,146,0.2693726937269373,0.9,2.4,popular,9,0
rest_0016,Fresh Hub,South Indian,4.4,106,3,46,True,28.5575,77.2545,10AM-11PM,0.17,1035,599.8974685990338,620893.88,4.5431884057971015,727,0.4874507625994695,219,0.3012379642365887,0.35,1.4666666666666668,popular,10,1
rest_0017,Paradise Point,North Indian,4.5,10,4,34,True,28.4599,77.2718,11AM-12AM,0.24,1080,799.008287037037,862928.95,4.5499074074074075,751,0.4995382957559682,229,0.30492676431424764,0.65,1.125,popular,9,1
rest_0018,Deluxe Restaurant,North Indian,4.6,101,4,34,True,28.6252,77.1625,10AM-11PM,0.23,1042,824.5317274472169,859162.06,4.556525911708253,741,0.5007558852785146,204,0.27530364372469635,0.65,1.15,popular,9,1
rest_0019,Spicy Palace,Street Food,5.0,204,3,43,True,28.6239,77.1888,10AM-11PM,0.17,1183,590.8173626373626,698936.94,4.5366018596787825,829,0.55839025198939,255,0.30759951749095293,0.42500000000000004,1.6666666666666667,popular,11,1
rest_0020,Deluxe Bites,South Indian,4.8,514,2,45,True,28.4437,77.0771,11AM-12AM,0.17,1718,396.7110942956927,681549.66,4.532013969732247,1215,0.6710959880636604,365,0.3004115226337449,0.375,2.4,popular,10,1
rest_0021,Classic House,South Indian,4.5,1542,4,42,False,28.6634,77.2402,10AM-11PM,0.22,438,788.8907305936074,345534.14,4.5278538812785385,325,0.4185452586206897,79,0.24307692307692308,0.44999999999999996,1.125,established,10,0
rest_0022,Classic Point,South Indian,4.7,3141,3,26,True,28.4808,77.1896,9AM-10PM,0.18,1092,595.8976007326008,650720.18,4.539377289377289,773,0.626981349469496,227,0.2936610608020699,0.85,1.5666666666666667,popular,10,1
rest_0023,Spicy Palace,Italian,4.9,962,4,42,False,28.6947,77.1511,11AM-12AM,0.18,472,847.6489618644068,400090.31,4.539194915254237,351,0.42884665119363397,85,0.24216524216524216,0.44999999999999996,1.225,established,8,0
rest_0024,Paradise Grill,South Indian,4.7,63,3,26,False,28.5149,77.018,10AM-11PM,0.17,491,627.5465784114053,308125.37,4.5289205702647655,356,0.3884626160477454,96,0.2696629213483146,0.85,1.5666666666666667,established,10,0
rest_0025,Royal Kitchen,Fast Food,4.9,93,2,42,True,28.4534,77.2748,11AM-12AM,0.18,1839,420.5499401848831,773391.34,4.548558999456226,1277,0.6875920921750664,387,0.303054032889585,0.44999999999999996,2.45,popular,6,1
rest_0026,Golden Bites,South Indian,4.5,449,2,20,False,28.5055,77.1846,11AM-12AM,0.19,718,401.80573816155993,288496.52,4.561142061281338,527,0.43855064655172415,139,0.2637571157495256,1.0,2.25,popular,10,0
rest_0027,Corner Palace,Fast Food,4.8,323,2,34,True,28.5321,77.0578,10AM-11PM,0.22,1671,410.8527348892879,686534.92,4.544165170556553,1196,0.6542354940318302,332,0.27759197324414714,0.65,2.4,popular,6,1
rest_0028,Spicy Cafe,Italian,4.7,1707,3,26,True,28.4208,77.1819,10AM-11PM,0.18,1123,607.7321816562778,682483.24,4.535173642030276,798,0.5818528680371353,225,0.2819548872180451,0.85,1.5666666666666667,popular,8,1
rest_0029,Express Eatery,North Indian,4.1,6118,2,43,True,28.5735,77.2032,10AM-11PM,0.18,1464,403.42941939890716,590620.67,4.537704918032786,1042,0.7772640915119363,303,0.2907869481765835,0.42500000000000004,2.05,popular,9,1
rest_0030,Golden Cafe,Chinese,4.9,4450,2,46,False,28.5793,77.1577,10AM-11PM,0.18,783,403.87558109833975,316234.58,4.532183908045977,578,0.620610576923077,156,0.2698961937716263,0.35,2.45,popular,3,0
