restaurant_id,name,cuisine_type,avg_rating,total_reviews,price_range,avg_delivery_time,is_veg_only,location_lat,location_lon,operating_hours,commission_rate
rest_0000,Paradise Palace,South Indian,4.6,357,2,36,False,28.4831,77.2476,10AM-11PM,0.18
rest_0001,Corner Point,Continental,4.5,201,2,46,False,28.5349,77.2605,10AM-11PM,0.23
rest_0002,Paradise Eatery,Italian,4.7,100,3,20,True,28.5036,77.1242,11AM-12AM,0.18
rest_0003,Royal Restaurant,North Indian,4.4,259,2,46,False,28.4518,77.2094,11AM-12AM,0.2
rest_0004,Corner Point,Biryani,4.6,51,4,34,False,28.5866,77.0805,11AM-12AM,0.19
rest_0005,Golden Grill,Fast Food,4.8,284,2,36,False,28.6646,77.2998,11AM-12AM,0.24
rest_0006,Corner Hub,North Indian,4.9,10,1,25,True,28.6877,77.0526,11AM-12AM,0.19
rest_0007,Express Point,Continental,4.6,158,3,20,False,28.4577,77.003,10AM-11PM,0.19
rest_0008,Spicy Grill,Fast Food,4.1,1115,1,36,False,28.6152,77.0446,10AM-11PM,0.22
rest_0009,Express Bites,South Indian,4.8,170,4,40,True,28.5993,77.2328,24 hours,0.21
rest_0010,Fresh Kitchen,North Indian,4.8,1980,4,42,False,28.503,77.134,10AM-11PM,0.16
rest_0011,Classic Cafe,North Indian,4.8,99,3,40,True,28.4057,77.1343,11AM-12AM,0.2
rest_0012,Deluxe Kitchen,North Indian,4.2,667,3,38,True,28.6069,77.2865,10AM-11PM,0.22
rest_0013,Classic Hub,Street Food,4.6,39,2,25,True,28.6836,77.2759,11AM-12AM,0.25
rest_0014,Paradise Palace,Biryani,4.7,628,4,42,True,28.5896,77.0934,11AM-12AM,0.21
rest_0015,Deluxe Hub,North Indian,4.8,210,2,24,False,28.5306,77.0627,10AM-11PM,0.19
rest_0016,Fresh Hub,South Indian,4.4,106,3,46,True,28.5575,77.2545,10AM-11PM,0.17
rest_0017,Paradise Point,North Indian,4.5,10,4,34,True,28.4599,77.2718,11AM-12AM,0.24
rest_0018,Deluxe Restaurant,North Indian,4.6,101,4,34,True,28.6252,77.1625,10AM-11PM,0.23
rest_0019,Spicy Palace,Street Food,5.0,204,3,43,True,28.6239,77.1888,10AM-11PM,0.17
rest_0020,Deluxe Bites,South Indian,4.8,514,2,45,True,28.4437,77.0771,11AM-12AM,0.17
rest_0021,Classic House,South Indian,4.5,1542,4,42,False,28.6634,77.2402,10AM-11PM,0.22
rest_0022,Classic Point,South Indian,4.7,3141,3,26,True,28.4808,77.1896,9AM-10PM,0.18
rest_0023,Spicy Palace,Italian,4.9,962,4,42,False,28.6947,77.1511,11AM-12AM,0.18
rest_0024,Paradise Grill,South Indian,4.7,63,3,26,False,28.5149,77.018,10AM-11PM,0.17
rest_0025,Royal Kitchen,Fast Food,4.9,93,2,42,True,28.4534,77.2748,11AM-12AM,0.18
rest_0026,Golden Bites,South Indian,4.5,449,2,20,False,28.5055,77.1846,11AM-12AM,0.19
rest_0027,Corner Palace,Fast Food,4.8,323,2,34,True,28.5321,77.0578,10AM-11PM,0.22
rest_0028,Spicy Cafe,Italian,4.7,1707,3,26,True,28.4208,77.1819,10AM-11PM,0.18
rest_0029,Express Eatery,North Indian,4.1,6118,2,43,True,28.5735,77.2032,10AM-11PM,0.18
