user_id,total_orders,avg_order_value,favorite_cuisine,price_sensitivity,avg_rating_given,dietary_preference,preferred_meal_time,location_lat,location_lon,days_since_last_order
user_000000,19,386.97,North Indian,medium,4.5,non_veg,dinner,28.4528,77.2077,0
user_000001,2,651.82,Healthy,high,4.6,veg,dinner,28.5536,77.0965,0
user_000002,8,460.64,Street Food,medium,4.8,veg,lunch,28.5268,77.0706,2
user_000003,1,241.13,Desserts,medium,4.5,no_preference,lunch,28.6494,77.1884,36
user_000004,10,323.01,North Indian,medium,4.2,non_veg,dinner,28.6162,77.2725,9
user_000005,4,160.42,Healthy,medium,4.8,non_veg,lunch,28.4481,77.2028,2
user_000006,20,321.43,Italian,medium,4.3,vegan,dinner,28.5809,77.1071,4
user_000007,5,191.76,Street Food,high,4.3,non_veg,breakfast,28.5539,77.2527,13
user_000008,1,485.56,Street Food,high,4.9,non_veg,dinner,28.4163,77.18,4
user_000009,35,150.0,Biryani,high,4.9,non_veg,dinner,28.6358,77.0757,2
user_000010,1,181.34,Biryani,medium,4.7,veg,breakfast,28.45,77.1048,9
user_000011,3,329.92,Italian,high,4.3,non_veg,lunch,28.5104,77.0676,1
user_000012,14,150.0,Desserts,medium,4.1,non_veg,dinner,28.5333,77.2589,14
user_000013,1,594.26,Biryani,high,4.6,non_veg,lunch,28.5762,77.1394,37
user_000014,25,271.2,Continental,low,4.7,non_veg,snacks,28.6472,77.2922,27
user_000015,1,475.89,Chinese,low,4.4,non_veg,dinner,28.6526,77.0263,22
user_000016,2,150.0,South Indian,low,4.7,vegan,breakfast,28.6003,77.2381,2
user_000017,6,339.49,Desserts,high,4.4,non_veg,breakfast,28.4035,77.0306,11
user_000018,4,310.03,Fast Food,medium,4.6,no_preference,dinner,28.6165,77.0476,1
user_000019,11,525.32,North Indian,medium,4.1,veg,lunch,28.5207,77.1948,1
user_000020,1,541.45,Cafe,high,3.6,veg,snacks,28.5302,77.2322,4
user_000021,10,150.0,Biryani,high,4.5,veg,lunch,28.449,77.2891,8
user_000022,11,246.94,Biryani,medium,4.8,non_veg,dinner,28.4438,77.0502,2
user_000023,15,486.59,South Indian,medium,4.7,veg,lunch,28.499,77.0666,8
user_000024,1,216.98,Italian,low,4.7,veg,dinner,28.4008,77.0742,0
user_000025,1,191.27,Desserts,low,4.8,no_preference,lunch,28.5594,77.1658,7
user_000026,2,334.41,Healthy,medium,4.3,veg,dinner,28.6012,77.0066,4
user_000027,1,642.97,North Indian,medium,4.5,veg,dinner,28.4303,77.0976,1
user_000028,1,405.74,Italian,medium,4.4,non_veg,dinner,28.6458,77.1289,0
user_000029,2,395.5,Biryani,high,4.1,non_veg,lunch,28.6604,77.2011,52
user_000030,5,319.81,Street Food,medium,4.3,non_veg,breakfast,28.5462,77.0574,0
user_000031,128,384.63,Cafe,medium,4.4,no_preference,lunch,28.592,77.1521,3
user_000032,8,274.65,North Indian,low,4.7,non_veg,lunch,28.411,77.1844,13
user_000033,36,503.59,Continental,high,4.6,veg,dinner,28.4207,77.1865,2
